customer_id,first_name,last_name,email,country,age,annual_revenue,account_status
C202952,Jamie,Smith,,Germany,44,360489,Inactive
C202783,Morgan,Johnson,,Germany,32,99797,Active
C201349,Reese,Johnson,reese.johnson1349@example.com,USA.,22,427307,Prospect
C202644,Jamie,Johnson,jamie.johnson2644@example.com,U.S.,71,345567,Inactive
C203167,Morgan,Johnson,,United States,78,281262,Prospect
C202535,Taylor,Garcia,taylor.garcia2535@example.com,United States,46,150771,Inactive
C100340,Alex,Garcia,alex.garcia2009@example.com,Australia,75,429495,Active
C202812,Taylor,Smith,,United States,36,352792,Prospect
C100368,Alex,Patel,alex.patel487@example.com,United States,18,"$125,500",Inactive
C202517,Quinn,Smith,,United States of America,62,386250,Prospect
C200019,Reese,Wilson,reese.wilson19@example.com,United Kingdom,34,267740,Active
C203240,Jordan,Chen,,United States,81,373702,Prospect
C201900,Jamie,Johnson,,United States,80,117237,Active
C201947,Morgan,Brown,morgan.brown1947@example.com,United States,51,403604,Active
C203377,Casey,Patel,casey.patel3377@example.com,United States,79,327082,Inactive
C202617,Riley,Chen,riley.chen2617@example.com,Canada,18,23345,Inactive
C100219,Casey,Patel,casey.patel271@example.com,USA,62,273560,Prospect
C201864,Avery,Chen,,U.S.A.,36,355932,Inactive
C202552,Alex,Johnson,alex.johnson2552@example.com,Germany,74,147385,Inactive
C203843,Taylor,Brown,taylor.brown3843@example.com,United States,77,433664,Active
C201758,Jordan,Chen,jordan.chen1758@example.com,United states,23,442928,Inactive
C202006,Avery,Kim,,United States,42,266606,Prospect
C203511,Taylor,Garcia,,Canada,45,222213,Prospect
C100194,Jordan,Patel,jordan.patel3243@example.com,Mexico,18,72087,Inactive
C100238,Riley,Davis,riley.davis1184@example.com,US,52,437223,Inactive
C202182,Casey,Garcia,,Australia,30,306829,Active
C202715,Casey,Smith,casey.smith2715@example.com,Australia,37,221008,Prospect
C200538,Riley,Garcia,riley.garcia538@example.com,Canada,67,457445,Active
C203306,Riley,Davis,riley.davis3306@example.com,US,40,N/A,Inactive
C202128,Jamie,Patel,,United States,44,402490,Inactive
C200910,Alex,Miller,alex.miller910@example.com,United States,145,N/A,Active
C100172,Quinn,Garcia,,US,26,26215,Active
C100304,Jordan,Brown,,United States,64,106316,Prospect
C100009,Casey,Patel,casey.patel3813@example.com,US,32,18007,Active
C100105,Alex,Garcia,,Mexico,51,429135,Active
C100354,Riley,Davis,riley.davis1735@example.com,United States,51,282889,Active
C200550,Jamie,Kim,,United States,63,277239,Active
C201817,Jordan,Brown,jordan.brown1817@example.com,United Kingdom,51,173467,Prospect
C203609,Morgan,Davis,morgan.davis3609@example.com,United States,74,456775,Active
C204088,Quinn,Garcia,quinn.garcia4088@example.com,Canada,51,25639,Inactive
C202586,Quinn,Garcia,,United States,79,82539,Active
C203355,Riley,Garcia,,United States,76,290053,Active
C100112,Alex,Kim,alex.kim4032@example.com,U.S.,81,290687,Prospect
C201701,Alex,Patel,,US,26,448355,Active
C100132,Jordan,Miller,,United States,23,129926,Prospect
C201306,Morgan,Davis,,United States,52,54096,Prospect
C203628,Jordan,Garcia,jordan.garcia3628@example.com,United States,27,243367,Active
C100380,Reese,Johnson,,United Kingdom,41,214161,Active
C100410,Taylor,Kim,taylor.kim1573@example.com,Germany,68,370675,Prospect
C201552,Riley,Davis,,Australia,24,296028,Active
C200367,Alex,Patel,alex.patel367@example.com,Canada,21,38878,Prospect
C100262,Reese,Kim,,Germany,41,195039,Prospect
C100155,Casey,Patel,,US,31,105013,Prospect
C201723,Casey,Miller,,united states,70,268208,Active
C100382,Avery,Kim,avery.kim789@example.com,USA.,40,276734,Prospect
C202111,Riley,Miller,riley.miller2111@example.com,Germany,28,44548,Prospect
C202472,Quinn,Smith,quinn.smith2472@example.com,Canada,62,381814,Inactive
C201592,Casey,Johnson,,United States,61,404948,Prospect
C100106,Taylor,Wilson,taylor.wilson3906@example.com,Germany,18,359274,Inactive
C203932,Avery,Johnson,avery.johnson3932@example.com,United Kingdom,76,425720,Inactive
C201850,Casey,Kim,,Canada,24,144060,Active
C100304,Alex,Johnson,alex.johnson186@example.com,United States,28,111664,Active
C200347,Reese,Davis,reese.davis347@example.com,United States,19,422772,Active
C203695,Jordan,Patel,jordan.patel3695@example.com,United States,51,18504,Inactive
C100215,Jamie,Chen,,Australia,22,N/A,Prospect
C201655,Jamie,Miller,jamie.miller1655@example.com,United Kingdom,53,290429,Inactive
C100312,Jordan,Smith,,United States,49,N/A,Inactive
C200548,Reese,Miller,,United Kingdom,71,468509,Inactive
C100350,Casey,Davis,casey.davis434@example.com,United States,41,394096,Inactive
C201377,Riley,Garcia,,Germany,52,187894,Inactive
C202369,Alex,Brown,alex.brown2369@example.com,United States,27,270059,Inactive
C201876,Alex,Davis,,USA,39,330946,Prospect
C202976,Jordan,Johnson,,United States,141,177959,Active
C100140,Jamie,Garcia,jamie.garcia2073@example.com,United States,22,302739,Active
C200679,Taylor,Johnson,,United States,60,385447,Inactive
C202581,Riley,Johnson,riley.johnson2581@example.com,USA,25,392716,Prospect
C200832,Taylor,Johnson,,Canada,31,189799,Inactive
C202192,Casey,Miller,casey.miller2192@example.com,United States,44,450403,Inactive
C100028,Morgan,Brown,morgan.brown3983@example.com,United Kingdom,33,116709,Prospect
C201439,Casey,Brown,,United States,54,368595,Prospect
C200971,Morgan,Chen,morgan.chen971@example.com,Australia,50,460149,Active
C203578,Casey,Garcia,,U.S.,56,20095,Prospect
C100205,Reese,Miller,,Canada,60,360320,Inactive
C203250,Alex,Chen,alex.chen3250@example.com,United states,51,39531,Active
C100352,Morgan,Patel,,United States,81,83628,Inactive
C201617,Taylor,Garcia,taylor.garcia1617@example.com,Mexico,42,306262,Inactive
C200842,Riley,Smith,riley.smith842@example.com,United States,18,19077,Prospect
C202553,Reese,Johnson,reese.johnson2553@example.com,United States,78,189992,Active
C201659,Avery,Miller,avery.miller1659@example.com,United States,19,310880,Active
C100024,Taylor,Garcia,taylor.garcia349@example.com,United States,62,124713,Inactive
C200157,Reese,Kim,reese.kim157@example.com,United States,28,398206,Active
C100133,Alex,Miller,,USA,75,201997,Prospect
C200961,Avery,Chen,avery.chen961@example.com,United Kingdom,38,400826,Inactive
C201207,Alex,Wilson,alex.wilson1207@example.com,US,44,322921,Prospect
C203962,Alex,Miller,alex.miller3962@example.com,USA,43,286138,Inactive
C200179,Quinn,Davis,,Australia,27,"$125,500",Prospect
C100129,Morgan,Wilson,,USA,39,458850,Prospect
C203680,Jordan,Johnson,,Mexico,24,464096,Inactive
C204117,Quinn,Brown,quinn.brown4117@example.com,United States,58,105453,Inactive
C203887,Riley,Patel,,United States,27,382851,Active
C203745,Casey,Kim,casey.kim3745@example.com,Mexico,46,33751,Inactive
C201114,Quinn,Chen,quinn.chen1114@example.com,Australia,67,381757,Inactive
C203301,Riley,Garcia,,United States,64,120640,Inactive
C200827,Reese,Miller,reese.miller827@example.com,Australia,50,440639,Active
C203186,Riley,Kim,,Australia,37,313426,Active
C202822,Morgan,Wilson,,United States,27,"$45,000",Prospect
C100004,Taylor,Smith,taylor.smith312@example.com,US,65,280449,Prospect
C202951,Reese,Brown,,US,55,298484,Active
C100373,Morgan,Chen,morgan.chen1984@example.com,United States,35,255713,Inactive
C100131,Jamie,Brown,,Germany,56,51507,Active
C200908,Alex,Patel,,Germany,34,"$125,500",Active
C202026,Riley,Johnson,riley.johnson2026@example.com,Germany,68,376662,Inactive
C100204,Jamie,Kim,,US,63,163309,Prospect
C100392,Reese,Kim,reese.kim784@example.com,US,23,"$45,000",Inactive
C100193,Reese,Wilson,reese.wilson3468@example.com,United States,31,221944,Prospect
C201796,Jamie,Smith,,United Kingdom,80,407433,Active
C202361,Riley,Garcia,,Mexico,132,264391,Prospect
C200564,Quinn,Miller,quinn.miller564@example.com,United States,31,401702,Active
C100042,Casey,Kim,casey.kim3789@example.com,united states,37,140517,Prospect
C200762,Taylor,Johnson,taylor.johnson762@example.com,United States,71,262198,Active
C100002,Reese,Chen,reese.chen1501@example.com,USA,20,209340,Prospect
C201696,Casey,Chen,casey.chen1696@example.com,United States,51,254785,Inactive
C100322,Jordan,Davis,jordan.davis1059@example.com,Mexico,46,410224,Active
C200168,Alex,Miller,alex.miller168@example.com,U.S.,70,367225,Inactive
C203694,Morgan,Davis,,United States,71,240841,Inactive
C202294,Avery,Miller,avery.miller2294@example.com,US,77,359054,Prospect
C100070,Jordan,Patel,jordan.patel3658@example.com,United States,25,292377,Prospect
C202184,Taylor,Garcia,taylor.garcia2184@example.com,Australia,76,371513,Prospect
C202387,Casey,Garcia,,US,68,149700,Inactive
C100356,Avery,Smith,,United Kingdom,69,56160,Prospect
C100100,Reese,Patel,reese.patel1355@example.com,Australia,26,263136,Inactive
C100365,Riley,Davis,riley.davis3827@example.com,United Kingdom,52,254511,Prospect
C100232,Jordan,Smith,,Germany,77,391397,Inactive
C202131,Casey,Smith,casey.smith2131@example.com,United States,22,460580,Inactive
C202409,Casey,Patel,,United states,79,78537,Prospect
C202303,Morgan,Patel,morgan.patel2303@example.com,United states,63,262869,Prospect
C100258,Riley,Garcia,riley.garcia4020@example.com,USA,53,"$125,500",Active
C202839,Riley,Smith,,United Kingdom,80,128814,Prospect
C203622,Taylor,Wilson,taylor.wilson3622@example.com,United States,79,288767,Inactive
C203481,Jamie,Smith,jamie.smith3481@example.com,United States,44,N/A,Active
C100173,Jordan,Smith,jordan.smith264@example.com,United states,75,165417,Prospect
C202438,Taylor,Miller,,UNITED STATES,76,261120,Inactive
C202525,Riley,Davis,,United States,21,42253,Inactive
C202942,Taylor,Kim,,Australia,20,199513,Inactive
C100419,Jamie,Davis,jamie.davis377@example.com,Mexico,71,447871,Prospect
C202903,Reese,Patel,,United Kingdom,71,84386,Inactive
C203942,Alex,Brown,alex.brown3942@example.com,United States,79,257836,Inactive
C100120,Reese,Patel,reese.patel3347@example.com,Germany,46,238604,Inactive
C200753,Morgan,Miller,morgan.miller753@example.com,US,51,350196,Active
C201511,Casey,Davis,casey.davis1511@example.com,U.S.,52,134598,Inactive
C201304,Reese,Brown,,United States,70,N/A,Active
C202511,Quinn,Smith,,United States,48,173932,Active
C100383,Alex,Johnson,alex.johnson704@example.com,US,60,446735,Prospect
C200729,Avery,Wilson,avery.wilson729@example.com,United States,66,203819,Inactive
C203132,Alex,Davis,alex.davis3132@example.com,United States,69,341623,Inactive
C202782,Quinn,Patel,quinn.patel2782@example.com,United States,66,269102,Active
C200150,Alex,Smith,alex.smith150@example.com,Germany,24,78640,Active
C202901,Avery,Chen,,United Kingdom,34,234716,Active
C203554,Reese,Brown,reese.brown3554@example.com,Canada,47,443038,Active
C100138,Quinn,Wilson,,United States,80,217657,Prospect
C100153,Morgan,Patel,,US,65,401405,Inactive
C100217,Jordan,Garcia,,United States,40,40331,Prospect
C202824,Morgan,Chen,morgan.chen2824@example.com,US,29,23044,Prospect
C201134,Casey,Garcia,casey.garcia1134@example.com,United Kingdom,55,92836,Inactive
C202437,Quinn,Garcia,quinn.garcia2437@example.com,Australia,51,130042,Active
C100315,Morgan,Garcia,morgan.garcia883@example.com,United States,30,31919,Active
C100397,Jordan,Kim,jordan.kim1394@example.com,US,33,218048,Prospect
C201470,Taylor,Smith,,United States,38,200060,Inactive
C100370,Jamie,Miller,,United States,18,466010,Active
C203509,Avery,Garcia,,United States of America,29,443807,Inactive
C201992,Jamie,Davis,jamie.davis1992@example.com,Germany,75,405774,Prospect
C100327,Taylor,Garcia,,Germany,27,213800,Inactive
C202768,Reese,Patel,,US,58,154587,Inactive
C203327,Reese,Davis,reese.davis3327@example.com,United States,80,402352,Active
C204134,Jordan,Smith,jordan.smith4134@example.com,United States,35,131558,Inactive
C100009,Casey,Patel,casey.patel3813@example.com,US,32,18007,Active
C201970,Riley,Miller,riley.miller1970@example.com,U.S.A.,51,253209,Prospect
C200911,Reese,Patel,reese.patel911@example.com,Canada,28,435516,Inactive
C100145,Riley,Johnson,riley.johnson1629@example.com,United States,64,85530,Prospect
C200010,Morgan,Smith,,Mexico,67,36346,Prospect
C100277,Avery,Smith,avery.smith454@example.com,United States,53,198967,Active
C100248,Quinn,Kim,quinn.kim1337@example.com,Mexico,47,396254,Active
C203959,Morgan,Garcia,morgan.garcia3959@example.com,United States,18,353593,Active
C100320,Jamie,Miller,,United Kingdom,78,407699,Active
C201658,Morgan,Johnson,morgan.johnson1658@example.com,Canada,29,396503,Active
C100224,Riley,Miller,riley.miller2805@example.com,Mexico,27,216090,Inactive
C100343,Casey,Chen,casey.chen3856@example.com,USA,58,462261,Prospect
C203291,Quinn,Patel,quinn.patel3291@example.com,Mexico,53,42566,Inactive
C100170,Taylor,Brown,,Canada,54,378724,Inactive
C100334,Riley,Smith,,United States,80,233532,Inactive
C202085,Avery,Smith,,United Kingdom,82,264353,Inactive
C100253,Reese,Miller,,Germany,26,458608,Prospect
C202015,Riley,Miller,,Mexico,71,380711,Prospect
C100049,Reese,Patel,,united states,39,313809,Active
C100327,Riley,Patel,,United Kingdom,76,47309,Inactive
C201200,Avery,Patel,avery.patel1200@example.com,US,62,82572,Active
C202331,Morgan,Johnson,,Canada,32,425875,Inactive
C200645,Morgan,Johnson,morgan.johnson645@example.com,United States,27,206867,Prospect
C200409,Alex,Chen,,United Kingdom,71,263739,Prospect
C201615,Alex,Smith,alex.smith1615@example.com,USA,48,235583,Inactive
C202593,Quinn,Johnson,,Canada,79,125041,Active
C201886,Casey,Garcia,casey.garcia1886@example.com,US,48,239788,Active
C100325,Taylor,Kim,,Germany,71,401966,Prospect
C100038,Jordan,Davis,,US,34,74020,Prospect
C100038,Jordan,Davis,,US,34,74020,Prospect
C100329,Avery,Johnson,avery.johnson1832@example.com,united states,35,355923,Active
C201657,Quinn,Johnson,,Canada,79,177013,Inactive
C200240,Reese,Miller,reese.miller240@example.com,Mexico,35,475119,Active
C100081,Jamie,Johnson,,United States,79,32516,Inactive
C200770,Jordan,Chen,,Mexico,72,65501,Inactive
C200064,Morgan,Johnson,,United States,26,389941,Inactive
C100032,Reese,Garcia,reese.garcia455@example.com,Germany,48,333604,Prospect
C200236,Jamie,Patel,,United states,31,436102,Prospect
C201496,Jamie,Brown,,United States,20,75533,Active
C202125,Avery,Wilson,avery.wilson2125@example.com,United States,55,226168,Prospect
C200716,Reese,Patel,reese.patel716@example.com,Germany,45,216783,Active
C203170,Casey,Johnson,,Canada,40,"$125,500",Prospect
C202011,Riley,Patel,,United States,36,104493,Active
C203374,Quinn,Patel,quinn.patel3374@example.com,United States,55,29607,Active
C100096,Jordan,Patel,jordan.patel3657@example.com,United States,42,40756,Inactive
